ID 	 arg1 	 arg2
P673	{SRC-PROP-DESC=[base]}	{SRC-PROP-DESC=[knowledge, online, clinical, medical], SRC-PROP-LABEL=[eMedicine]}
P674	{SRC-PROP-DESC=[item], INST-FACET=[work]}	{SRC-PROP-DESC=[characters], SRC-PROP-LABEL=[characters]}
P675	{SRC-PROP-DESC=[Google], SRC-PROP-LABEL=[identifier]}	{SRC-PROP-DESC=[identifier, access, gives], SRC-PROP-LABEL=[Google, Books]}
P676	{SRC-PROP-DESC=[lyrics, song]}	{SRC-PROP-DESC=[author], SRC-PROP-LABEL=[lyrics]}
P677	{SRC-PROP-DESC=[trees, protected, areas], SRC-PROP-LABEL=[code]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[ÚSO]}
P678	{SRC-PROP-DESC=[ranks, intermediate, sedis, incertae, are], INST-FACET=[qualifier]}	{SRC-PROP-DESC=[qualifier, mark], SRC-PROP-LABEL=[sedis, incertae]}
P679	{SRC-PROP-DESC=[database, GESTIS]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[ZVG, number]}
P680	{SRC-PROP-DESC=[function, annotations]}	{SRC-PROP-DESC=[gene, ontology], SRC-PROP-LABEL=[function, molecular]}
P681	{SRC-PROP-DESC=[item, present, is]}	{SRC-PROP-DESC=[component], SRC-PROP-LABEL=[cell, component]}
P682	{}	{SRC-PROP-DESC=[process, biological], SRC-PROP-LABEL=[process, biological]}
P683	{SRC-PROP-DESC=[compounds]}	{SRC-PROP-DESC=[database, ontology, molecular], SRC-PROP-LABEL=[ChEBI, ID]}
P684	{SRC-PROP-DESC=[species]}	{SRC-PROP-DESC=[gene, orthologous], SRC-PROP-LABEL=[ortholog]}
P685	{SRC-PROP-DESC=[Information, Biotechnology]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[NCBI, Taxonomy, ID], SUB-ITEM=[National Center for Biotechnology Information]}
P686	{SRC-PROP-DESC=[Ontology, Gene]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[Gene, Ontology, ID]}
P687	{SRC-PROP-DESC=[Library, Biodiversity, Heritage], SRC-PROP-LABEL=[Id, age]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[BHL], SUB-ITEM=[Biodiversity Heritage Library]}
P688	{SRC-PROP-DESC=[gene]}	{SRC-PROP-DESC=[product]}
P689	{SRC-PROP-DESC=[condition, disease]}	{SRC-PROP-DESC=[type, organism]}
P69	{INST-FACET=[human]}	{SRC-PROP-DESC=[institution, educational], SUB-ITEM=[educational institution]}
P690	{SRC-PROP-DESC=[crystals]}	{SRC-PROP-DESC=[symmetry, classification], SRC-PROP-LABEL=[space, group], SUB-ITEM=[space group]}
P691	{SRC-PROP-DESC=[Republic, Czech], INST-FACET=[authority control]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[NKC, identifier]}
P692	{SRC-PROP-DESC=[GeneAtlas, expression, pattern], SRC-PROP-LABEL=[Image]}	{SRC-PROP-DESC=[image], SRC-PROP-LABEL=[Gene, Atlas]}
P693	{SRC-PROP-DESC=[crystals, minerals]}	{SRC-PROP-DESC=[way], SRC-PROP-LABEL=[cleavage]}
P694	{SRC-PROP-DESC=[name]}	{SRC-PROP-DESC=[replacement, name], SRC-PROP-LABEL=[synonym]}
P695	{SRC-PROP-DESC=[substances, hazardous, articles], SRC-PROP-LABEL=[number]}	{SRC-PROP-DESC=[numbers, four-digit, international], SRC-PROP-LABEL=[UN], SUB-ITEM=[UN number]}
P696	{SRC-PROP-DESC=[database, Neurolex]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[Neurolex, ID]}
P697	{INST-FACET=[qualifier]}	{SRC-PROP-DESC=[person], SRC-PROP-LABEL=[author]}
P698	{SRC-PROP-DESC=[articles/abstracts, journal]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[ID, ubMed], SUB-ITEM=[PubMed ID]}
P699	{SRC-PROP-DESC=[database, Disease, Ontology], SRC-PROP-LABEL=[ID, Ontology]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[Disease]}
P7	{SRC-PROP-DESC=[brother], SUB-PROP=[human], INST-FACET=[human]}	{SUB-PROP=[kinship], SRC-PROP-LABEL=[brother], SUB-ITEM=[brother]}
P700	{SRC-PROP-DESC=[hazards]}	{SRC-PROP-DESC=[code], SRC-PROP-LABEL=[Kemler, ID]}
P701	{}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[Dodis], SUB-ITEM=[Diplomatic Documents of Switzerland]}
P702	{SRC-PROP-DESC=[gene]}	{SRC-PROP-DESC=[gene, product]}
P703	{SRC-PROP-DESC=[molecule, substance]}	{SRC-PROP-DESC=[taxon]}
P704	{SRC-PROP-DESC=[Ensembl, database]}	{SRC-PROP-DESC=[transcript, ID], SRC-PROP-LABEL=[Ensembl, Transcript, ID]}
P705	{SRC-PROP-DESC=[Ensembl, database]}	{SRC-PROP-DESC=[protein, ID], SRC-PROP-LABEL=[rotein, Ensembl, ID]}
P706	{SRC-PROP-DESC=[water], SUB-PROP=[geographic location], SEE-ALSO=[geographic location], INST-FACET=[geographic location]}	{SRC-PROP-DESC=[landform], SUB-PROP=[geographic location], SEE-ALSO=[body of water, administrative territorial entity, geographic location], SRC-PROP-LABEL=[terrain, feature], SUB-ITEM=[landform]}
P707	{SRC-PROP-DESC=[satellite, multiple-production, spacecraft]}	{SRC-PROP-DESC=[model, general], SRC-PROP-LABEL=[satellite, bus]}
P708	{SRC-PROP-DESC=[element]}	{SRC-PROP-DESC=[division, administrative], SRC-PROP-LABEL=[diocese]}
P709	{SRC-PROP-DESC=[database, Historic, Scotland], INST-FACET=[cultural heritage], SRC-PROP-LABEL=[ID, Scotland]}	{SRC-PROP-DESC=[Building, ID], SRC-PROP-LABEL=[Scotland, ID], SUB-ITEM=[Historic Scotland]}
P710	{SRC-PROP-DESC=[part]}	{SRC-PROP-DESC=[person, group, people], INVS-PROP=[human], SRC-PROP-LABEL=[participant]}
P711	{SRC-PROP-DESC=[edition], SRC-PROP-LABEL=[edition, 8th]}	{SRC-PROP-DESC=[mineral], SRC-PROP-LABEL=[Strunz]}
P712	{SRC-PROP-DESC=[file, DF, format], SRC-PROP-LABEL=[edition, 9th]}	{SRC-PROP-DESC=[mineral, classification], SRC-PROP-LABEL=[Nickel-Strunz]}
P713	{SRC-PROP-DESC=[version, 10], SRC-PROP-LABEL=[edition, 10th]}	{SRC-PROP-DESC=[mineral, classification], SRC-PROP-LABEL=[Nickel-Strunz]}
P714	{SRC-PROP-DESC=[edition, 8th], SRC-PROP-LABEL=[edition, 8th]}	{SRC-PROP-DESC=[mineral, classification], SRC-PROP-LABEL=[Dana]}
P715	{SRC-PROP-DESC=[Alberta]}	{SRC-PROP-DESC=[bioinformatics, cheminformatics], SRC-PROP-LABEL=[Drugbank, ID]}
P716	{SRC-PROP-DESC=[bodies, small, Solar, System], SRC-PROP-LABEL=[identifier]}	{SRC-PROP-DESC=[astronomy, database], SRC-PROP-LABEL=[J, L, Small-Body, Database]}
P717	{SRC-PROP-DESC=[comets, minor, planets], SRC-PROP-LABEL=[code, observatory]}	{SRC-PROP-DESC=[data, observational], SRC-PROP-LABEL=[lanet, Minor]}
P718	{SRC-PROP-DESC=[database, Canmore], INST-FACET=[cultural heritage]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[Canmore, ID]}
P720	{SRC-PROP-DESC=[albedo], SRC-PROP-LABEL=[type, spectral]}	{SRC-PROP-DESC=[classifications, spectral], SRC-PROP-LABEL=[asteroid], SUB-ITEM=[asteroid spectral type]}
P721	{SRC-PROP-DESC=[Russia], SRC-PROP-LABEL=[identifier]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[OKATO]}
P722	{SRC-PROP-DESC=[railway, stations], SRC-PROP-LABEL=[code, station]}	{SRC-PROP-DESC=[UIC, ids], SRC-PROP-LABEL=[UIC]}
P723	{SRC-PROP-DESC=[authors, Dutch, language]}	{SRC-PROP-DESC=[reference], SRC-PROP-LABEL=[DBNL, ID], SUB-ITEM=[Digital Library for Dutch Literature]}
P724	{SRC-PROP-DESC=[archive.org]}	{SRC-PROP-DESC=[ID, unique], SRC-PROP-LABEL=[Internet, Archive, ID]}
P725	{SRC-PROP-DESC=[role], SEE-ALSO=[work, qualifier]}	{SRC-PROP-DESC=[person], SRC-PROP-LABEL=[voice, actor]}
P726	{SRC-PROP-DESC=[office]}	{SRC-PROP-DESC=[person, party], SRC-PROP-LABEL=[candidate]}
P727	{SRC-PROP-DESC=[Europe]}	{SRC-PROP-DESC=[interface, millions], SRC-PROP-LABEL=[Europeana, ID]}
P728	{SRC-PROP-LABEL=[statement, hazard]}	{SRC-PROP-DESC=[system, assessment, chemicals], SRC-PROP-LABEL=[GHS]}
P729	{SRC-PROP-DESC=[piece, class, service, operational, entered], SUB-PROP=[qualifier]}	{SRC-PROP-DESC=[date, point, time], SRC-PROP-LABEL=[service, entry]}
P730	{SRC-PROP-DESC=[piece, class, service, operational, retired]}	{SRC-PROP-DESC=[date, point, time], SRC-PROP-LABEL=[service, retirement]}
P731	{}	{SRC-PROP-DESC=[database, Lithostratigraphic, Germany], SRC-PROP-LABEL=[Litholex, ID]}
P732	{SRC-PROP-DESC=[Survey, British, Geological]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[BGS, Lexicon, ID]}
P733	{SRC-PROP-DESC=[Netherlands]}	{SRC-PROP-DESC=[database], SRC-PROP-LABEL=[DINOloket]}
